"CWNS_ID","FACILITY_ID","STATE_CODE","CONGRESSIONAL_DISTRICT_ID","CD_PRIMARY_FLAG"
"12000701041",3501083,FL,"1203",
"34002531801",3503060,NJ,"3407",Y
"54001020001",3032014,WV,"5401",Y
"04001904008",3219791,AZ,"0407",Y
"06008086001",3380875,CA,"0641",Y
"34170603101",3399979,NJ,"3402",Y
"27043000009",3405377,MN,"2702",Y
"53000835001",1180857,WA,"5304",Y
"53001790001",1181002,WA,"5305",Y
"48003033002",1183197,TX,"4835",Y
"48007039003",1183822,TX,"4809",Y
"25000118001",1092412,MA,"2508",Y
"01000006004",1101832,AL,"0102",Y
"01000048001",1101877,AL,"0104",Y
"01000050001",1101882,AL,"0104",Y
"05000114001",1104948,AR,"0504",Y
"05000259001",1105087,AR,"0501",Y
"05000349001",1105164,AR,"0504",Y
"51000341001",1192993,VA,"5107",Y
"51000350001",1192997,VA,"5110",Y
"08209000018",3500169,CO,"0804",Y
"08209000046",3500198,CO,"0803",Y
"08209000127",3500279,CO,"0805",Y
"32000200804",3507847,NV,"3202",Y
"49000980001",3121969,UT,"4904",Y
"24070042001",3513236,MD,"2405",Y
"12000700024",3500389,FL,"1218",Y
"12000700038",3500428,FL,"1202",Y
"54000706002",3510076,WV,"5401",Y
"24070022004",3513216,MD,"2401",Y
"36001021008",3514197,NY,"3601",Y
"54002012002",1094903,WV,"5401",Y
"54002408001",1094969,WV,"5402",Y
"01000285001",1102112,AL,"0102",Y
"05000660001",1105458,AR,"0501",Y
"17000254001",1113531,IL,"1713",Y
"17000721005",1113997,IL,"1708",Y
"17003715001",1114163,IL,"1715",Y
"36006082001",1220995,NY,"3622",Y
"36008005001",1221204,NY,"3624",Y
"56000085001",1194837,WY,"5600",Y
"42001066001",1195566,PA,"4209",Y
"55002010000",495657,WI,"5501",Y
"08000024001",1066829,CO,"0807",Y
"08201200039",3528976,CO,"0807",Y
"54002010010",3536736,WV,"5401",Y
"54000212001",3537896,WV,"5402",Y
"26007003004",3539038,MI,"2608",Y
"26007003021",3539156,MI,"2601",Y
"51000010036",3540879,VA,"5104",Y
"51000010097",3541835,VA,"5104",Y
"51000010235",3542090,VA,"5101",Y
"33000315001",3542296,NH,"3302",Y
