"CWNS_ID","FACILITY_ID","STATE_CODE","IMPLEMENTATION_STATUS","REMAINING_COST","ANNUAL_COST"
"54003019001",1095064,WV,Considering Implementation,30000,0
"54004005001",1095168,WV,Considering Implementation,30000,0
"04001506002",1069528,AZ,Fully Implemented,0,0
"04001302012",3501946,AZ,In Process of Developing,0,0
"23000164001",1142596,ME,Not Considering Implementation,0,0
"23000022001",1142455,ME,Fully Implemented,0,0
"23000055001",1142490,ME,Fully Implemented,0,0
"54003601001",1239027,WV,Fully Implemented,0,10000
"54001604001",3505100,WV,Considering Implementation,30000,0
"54001703001",1239023,WV,In Process of Developing,0,40000
"54003501002",3513304,WV,Considering Implementation,30000,0
"54002505012",3514038,WV,Considering Implementation,30000,0
"12000101006",398320,FL,Not Considering Implementation,0,0
"51000009001",1192591,VA,Fully Implemented,0,0
"23000057004",1142495,ME,Not Considering Implementation,0,0
"47000940002",1166136,TN,Fully Implemented,0,566000
"54002505009",3514058,WV,Considering Implementation,30000,0
"04001320001",1069458,AZ,Fully Implemented,0,0
"54003880202",3519296,WV,Considering Implementation,30000,0
"54000216001",3537957,WV,Not Considering Implementation,0,0
"54002603001",1094996,WV,Not Considering Implementation,0,0
"54002806001",1095037,WV,Considering Implementation,30000,0
"23000088002",1142527,ME,Fully Implemented,0,0
"54002605001",1239026,WV,Fully Implemented,0,30287
"23000094001",1142533,ME,Not Considering Implementation,0,0
"54005012001",1239031,WV,Considering Implementation,30000,0
"12000127002",1239629,FL,Not Considering Implementation,0,0
"04001302001",1069436,AZ,In Process of Developing,0,0
"54003909001",1095158,WV,Considering Implementation,30000,0
"54001030002",1094781,WV,Considering Implementation,30000,0
"54001038001",1094787,WV,Considering Implementation,30000,0
"54002420001",1094977,WV,Considering Implementation,30000,0
"54002422001",1094979,WV,Considering Implementation,30000,0
"54002810001",1095039,WV,Fully Implemented,0,1000
"54004804001",1095267,WV,Considering Implementation,17000,0
"04001506003",401134,AZ,Fully Implemented,0,0
"54000502001",1094734,WV,Considering Implementation,30000,0
"12000101002",1078245,FL,Not Considering Implementation,0,0
"04002801001",3120214,AZ,Fully Implemented,0,0
"04002801007",3127310,AZ,Fully Implemented,0,0
"36009082011",1221415,NY,In Process of Developing,305900,0
"54002102001",1094943,WV,Considering Implementation,35000,0
"12000000033",3608111,FL,Not Considering Implementation,0,0
"04000000131",3608986,AZ,Fully Implemented,0,0
"04001344001",1069475,AZ,Fully Implemented,0,0
"04002703002",1069673,AZ,Not Considering Implementation,0,0
"51000000132",3607987,VA,In Process of Developing,100000,266000
"30000070001",1159133,MT,In Process of Developing,0,0
"51000308006",1192948,VA,Fully Implemented,0,0
"04001903018",3535476,AZ,Fully Implemented,0,0
"04002800100",1069695,AZ,Fully Implemented,0,0
"54000000068",3609472,WV,Considering Implementation,30000,0
"54000000066",3609338,WV,Considering Implementation,30000,0
"04002701004",1069665,AZ,Fully Implemented,0,0
"54003902001",1095154,WV,Fully Implemented,0,50000
"04000000137",3609314,AZ,Fully Implemented,0,0
"04002801026",3530136,AZ,Fully Implemented,0,0
"04000000138",3609315,AZ,Fully Implemented,0,0
"54004402001",1095233,WV,Considering Implementation,30000,0
"04001334001",1069465,AZ,Fully Implemented,0,0
"54000000032",3608096,WV,Considering Implementation,30000,0
"04001316001",3210288,AZ,Fully Implemented,0,0
"54000603001",1239019,WV,Fully Implemented,0,124845.94
"04000000123",3608694,AZ,Fully Implemented,0,0
"04000000126",3608970,AZ,Not Considering Implementation,0,0
"54004110001",1095191,WV,Considering Implementation,30000,0
"54000505001",1094737,WV,Considering Implementation,30000,0
"54000000028",3607856,WV,Not Considering Implementation,0,0
"54002038002",1094914,WV,Fully Implemented,0,0
"54002043001",1094916,WV,Considering Implementation,30000,0
"54001493001",1094823,WV,Considering Implementation,30000,0
"04001505001",1069522,AZ,Fully Implemented,0,0
"04002511002",1069626,AZ,Fully Implemented,0,0
"54000000030",3607864,WV,Fully Implemented,0,50000
"02000500008",3064708,AK,Considering Implementation,60500,0
"54001601001",1094837,WV,Considering Implementation,30000,0
"04001505030",3160729,AZ,Fully Implemented,0,0
"04000000122",3608660,AZ,Fully Implemented,0,0
"04000000124",3608721,AZ,Fully Implemented,0,0
"04001304001",1069437,AZ,Not Considering Implementation,0,0
"12000000043",3608666,FL,Not Considering Implementation,0,0
"37006402001",1236383,NC,Considering Implementation,2210483,221000
"04000000125",3608796,AZ,Not Considering Implementation,0,0
"54002704001",1095008,WV,Considering Implementation,30000,0
"12000000039",3608445,FL,Not Considering Implementation,0,0
"04001904012",1069572,AZ,In Process of Developing,0,0
"04001903006",3536696,AZ,Fully Implemented,0,0
"54000000023",3607753,WV,Considering Implementation,30000,0
"04000000135",3609209,AZ,Fully Implemented,0,0
"04000000133",3609143,AZ,Fully Implemented,0,0
"54005501001",1095325,WV,Considering Implementation,30000,0
"04002512001",1069629,AZ,Fully Implemented,0,0
"54001710001",1094847,WV,Considering Implementation,30000,0
"54003910001",1095159,WV,Considering Implementation,30000,0
"54000101001",1094688,WV,Considering Implementation,30000,0
"54004502001",1095242,WV,Fully Implemented,0,27000
"04001320005",3534396,AZ,Fully Implemented,0,0
"04001316002",3210088,AZ,Fully Implemented,0,0
"54000000031",3608020,WV,In Process of Developing,30000,0
"54001711001",1094848,WV,Considering Implementation,30000,0
"04000000140",3609478,AZ,Fully Implemented,0,0
"04002104001",1069583,AZ,Fully Implemented,0,0
"04002801000",3121808,AZ,Fully Implemented,0,0
"04000000130",3608983,AZ,Fully Implemented,0,0
"02000500099",3608807,AK,Not Considering Implementation,0,0
